0,1,2,3,4,5,6,7,8
0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667
0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667
0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.3166666666666667,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.30833333333333335
0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667
0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667
0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667
0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667,0.3166666666666667
